바바, 96, 169
파사, 55, 154
마나, 71, 167
하나, 73, 173
가바, 54, 154
가마, 70, 199
나바, 80, 192
바마, 86, 197
라가, 74, 171
차마, 71, 169
타마, 75, 168
다마, 82, 194
바다, 98, 148
아바, 52, 166
타가, 63, 168
나차, 68, 182
아자, 50, 178
파라, 79, 161
카바, 91, 156
사사, 67, 173
차라, 78, 146
자아, 81, 157
하라, 80, 153
아차, 99, 162
파자, 59, 189
다마, 75, 171
다카, 75, 145
파라, 42, 160
사카, 57, 147
라자, 55, 185
자카, 84, 170
하나, 83, 164
마가, 65, 148
파다, 94, 189
파하, 93, 175
자자, 68, 168
하바, 53, 151
자라, 78, 169
마차, 73, 162
파바, 44, 178
다다, 84, 166
차다, 87, 182
차라, 93, 167
마라, 73, 150
타라, 87, 159
카카, 74, 191
나아, 85, 144
파바, 46, 184
아타, 51, 189
파바, 85, 156
마차, 40, 154
사타, 71, 185
파하, 73, 192
사바, 53, 150
파자, 68, 182
마아, 54, 151
마라, 67, 178
마자, 94, 187
라가, 58, 147
하나, 53, 170
가마, 96, 153
아다, 59, 161
마하, 67, 148
자아, 76, 179
파아, 48, 166
아나, 77, 172
타라, 94, 171
하라, 42, 198
라다, 85, 188
차바, 76, 186
타가, 53, 174
차하, 88, 196
하사, 41, 194
자자, 92, 141
아라, 92, 143
카파, 81, 157
마아, 48, 144
카바, 93, 176
파마, 45, 175
파가, 99, 145
마파, 93, 189
차아, 75, 190
아바, 85, 141
라파, 86, 177
타아, 69, 193
사파, 66, 166
라자, 81, 177
아라, 41, 162
파하, 74, 174
아나, 71, 190
다차, 86, 143
차아, 45, 196
자타, 92, 142
바타, 89, 160
라아, 48, 185
하하, 93, 144
가하, 66, 171
바나, 65, 148
타사, 47, 196
아나, 82, 199
바라, 77, 155
가바, 42, 186
마자, 47, 174
라마, 61, 194
자아, 92, 191
마타, 99, 197
타자, 45, 172
아가, 59, 140
타바, 90, 159
다차, 98, 147
차파, 90, 179
차나, 77, 162
다파, 44, 168
차가, 86, 182
사자, 84, 161
카차, 83, 199
아나, 63, 165
파나, 66, 198
차라, 85, 161
파아, 50, 189
파아, 92, 159
나하, 43, 167
가차, 70, 155
사가, 67, 198
자차, 99, 162
가아, 63, 180
카자, 66, 181
마카, 43, 172
마라, 99, 154
마사, 46, 142
바사, 57, 167
카카, 50, 144
라자, 84, 194
타아, 75, 156
가자, 82, 181
바나, 59, 193
하바, 98, 161
다라, 41, 181
라타, 78, 186
나하, 78, 198
파타, 99, 161
자다, 98, 197
하사, 48, 171
가아, 88, 157
카가, 48, 173
라자, 44, 185
바바, 96, 154
라아, 85, 178
파다, 48, 185
다자, 61, 154
하하, 93, 153
자하, 52, 163
파자, 56, 161
가카, 91, 140
나차, 50, 189
사차, 91, 147
타아, 85, 164
마아, 61, 192
파파, 69, 141
다차, 79, 187
바파, 81, 191
바아, 67, 146
바자, 70, 153
마파, 65, 198
차다, 85, 190
아사, 81, 181
차차, 72, 144
하사, 51, 141
바아, 91, 172
라마, 64, 166
카자, 70, 191
하가, 84, 191
파나, 58, 188
하파, 69, 146
라나, 41, 198
카라, 94, 161
나다, 63, 183
카라, 49, 180
마마, 59, 149
하아, 44, 149
마마, 81, 169
라아, 41, 167
가나, 48, 167
파타, 70, 142
하나, 57, 190
사카, 92, 167
차바, 97, 159
타다, 89, 163
파하, 99, 178
사카, 61, 150
파사, 90, 195
아아, 62, 189
자차, 49, 198
사차, 95, 180
라다, 77, 186
하카, 83, 166
파다, 71, 150
카사, 44, 145
바사, 87, 182
카파, 84, 175
나카, 99, 169
아타, 88, 172
라가, 96, 150
자카, 55, 144
가다, 40, 182
차카, 67, 148
차타, 47, 168
차다, 61, 141
가아, 70, 199
차파, 79, 194
아마, 53, 183
바파, 47, 176
카바, 72, 188
타하, 63, 148
자라, 49, 165
차사, 93, 191
사나, 88, 151
사하, 75, 141
라아, 75, 198
파사, 58, 187
아하, 92, 158
카사, 78, 160
아바, 72, 184
차가, 86, 196
가사, 79, 199
다카, 98, 194
자하, 44, 155
라차, 86, 150
타나, 89, 151
나하, 41, 146
차나, 81, 140
나바, 73, 162
타사, 99, 184
파나, 43, 142
라마, 54, 172
마카, 71, 169
다타, 68, 157
바자, 65, 161
타아, 75, 177
가라, 44, 160
하가, 49, 160
아나, 52, 147
바라, 85, 164
파사, 67, 159
아마, 94, 197
다하, 97, 175
카자, 69, 181
아차, 95, 148
나바, 43, 188
파자, 56, 190
타타, 97, 168
나아, 51, 171
라나, 95, 184
사자, 63, 189
마바, 64, 189
마가, 86, 197
가하, 49, 187
바파, 87, 147
마타, 88, 180
타카, 45, 162
다차, 74, 148
하자, 40, 179
바마, 77, 193
다차, 44, 155
가다, 44, 143
마나, 50, 199
자차, 58, 154
사자, 51, 192
라사, 78, 198
가아, 78, 167
마아, 99, 195
차자, 84, 183
가타, 71, 169
다사, 63, 165
다하, 96, 145
사카, 81, 179
바타, 51, 145
사하, 61, 168
차라, 69, 157
바아, 77, 162
차바, 83, 156
사바, 70, 161
카사, 58, 170
카아, 50, 172
나아, 79, 156
하아, 77, 173
타하, 68, 160
바카, 90, 175
사사, 45, 192
카마, 71, 164
마라, 53, 146
파사, 67, 199
라차, 65, 141
나하, 64, 145
사아, 41, 151
바타, 84, 198
하가, 73, 166
가파, 78, 166
나하, 56, 165
다하, 54, 177
차나, 92, 198
타카, 51, 164
가라, 69, 184
자카, 40, 192
사차, 41, 193
자나, 47, 196
라자, 98, 190
나타, 85, 140
파가, 44, 166
다사, 92, 163
타하, 69, 196
사사, 78, 199
바하, 79, 150
나가, 57, 164
타타, 94, 163
라나, 48, 181
다카, 74, 167
다가, 78, 198
다자, 97, 157
다아, 80, 182
파사, 77, 156
타카, 76, 185
파차, 58, 186
하가, 52, 144
하나, 95, 156
마타, 55, 175
자파, 95, 174
파하, 71, 187
가다, 73, 180
차파, 95, 168
하아, 49, 164
하타, 84, 142
카마, 78, 158
아다, 45, 163
가자, 52, 165
나마, 94, 155
자아, 81, 172
자카, 56, 153
나사, 81, 163
라타, 43, 151
타라, 61, 150
마하, 67, 166
마가, 72, 177
아차, 65, 144
마카, 60, 178
카마, 92, 182
타나, 49, 185
자카, 86, 155
다가, 87, 167
라타, 87, 180
마카, 81, 153
타마, 79, 163
바자, 68, 185
다하, 42, 185
나마, 66, 183
마나, 68, 154
나마, 82, 163
사아, 60, 177
라나, 77, 146
파라, 49, 157
파타, 47, 160
마라, 51, 199
차다, 99, 158
차타, 90, 175
사마, 43, 158
사라, 42, 148
아하, 90, 159
라아, 70, 171
차사, 69, 187
자카, 59, 147
자마, 80, 167
사라, 89, 151
라하, 42, 186
나차, 45, 186
나카, 73, 157
아차, 67, 161
자카, 42, 165
하카, 40, 141
마아, 68, 163
아가, 94, 166
타사, 89, 188
마바, 81, 161
가차, 66, 165
나타, 59, 180
차라, 48, 179
카자, 83, 151
다바, 80, 175
차나, 83, 148
자마, 59, 155
다바, 67, 156
타타, 47, 194
하하, 87, 163
차카, 51, 174
파자, 68, 152
사카, 87, 162
라카, 84, 197
사라, 67, 149
다나, 63, 171
사자, 45, 179
차라, 74, 163
타바, 51, 155
바라, 93, 176
아바, 42, 183
아차, 90, 159
타가, 89, 164
타하, 69, 179
라타, 84, 173
차사, 99, 171
바사, 54, 145
다바, 45, 141
파하, 69, 194
다자, 98, 143
하다, 70, 153
라마, 66, 186
자차, 63, 175
타마, 78, 198
바나, 82, 153
마카, 52, 185
파나, 49, 156
자사, 68, 178
차차, 98, 141
하나, 65, 186
라자, 78, 199
바마, 81, 184
바아, 93, 141
사바, 89, 180
카아, 44, 151
바사, 75, 186
아사, 45, 180
차마, 41, 172
타파, 55, 172
바차, 91, 177
마나, 84, 157
타사, 55, 180
카다, 53, 152
하나, 99, 183
차나, 90, 167
카라, 89, 177
가자, 53, 147
라하, 90, 197
다가, 88, 187
카자, 84, 185
하하, 53, 154
다라, 49, 153
다차, 78, 143
아라, 80, 195
라나, 74, 198
라파, 65, 164
카카, 74, 191
가가, 94, 164
사차, 95, 148
나파, 95, 149
사타, 62, 195
나파, 80, 157
다파, 82, 174
차나, 80, 192
나차, 42, 158
마타, 68, 171
차바, 86, 169
마차, 46, 145
아하, 65, 160
타다, 62, 164
자하, 54, 184
나파, 56, 193
하타, 97, 181
나하, 85, 156
가하, 70, 164
하사, 78, 143
차바, 99, 152
다나, 62, 164
하다, 66, 173
하자, 58, 185
다다, 71, 170
자가, 96, 196
다차, 74, 149
바바, 81, 161
나바, 74, 149
사바, 70, 185
다아, 54, 197
타하, 97, 169
가파, 57, 186
바사, 90, 145
자바, 95, 165
타타, 80, 164
파가, 56, 153
아하, 60, 191
나파, 43, 174
카카, 66, 188
마카, 64, 170
타타, 77, 175
파라, 86, 191
차사, 65, 196
하자, 48, 173
파나, 43, 197
아라, 79, 172
가나, 40, 159
나카, 96, 164
마카, 58, 182
마차, 53, 184
하자, 69, 143
바카, 93, 158
라바, 67, 172
하타, 87, 162
차다, 87, 156
하자, 75, 162
차아, 84, 144
나다, 92, 182
자파, 45, 142
가차, 46, 158
나가, 48, 193
자라, 52, 178
사자, 84, 174
타타, 82, 196
차다, 41, 175
마라, 62, 189
사나, 91, 140
바아, 45, 145
자라, 93, 149
라다, 52, 178
바하, 67, 181
다차, 99, 151
자나, 77, 167
가다, 72, 195
카나, 63, 148
파사, 84, 187
타하, 53, 158
가차, 57, 158
파나, 87, 145
타하, 94, 166
다아, 62, 170
나타, 74, 178
가바, 66, 166
하라, 62, 180
파카, 42, 178
하다, 40, 155
바자, 87, 169
파하, 86, 154
라타, 66, 147
아마, 80, 189
가아, 64, 194
다다, 93, 157
라나, 71, 168
나타, 43, 163
아카, 56, 188
파라, 50, 176
사타, 59, 190
차아, 88, 163
파카, 96, 177
바가, 66, 174
하카, 42, 154
마카, 81, 169
차사, 60, 182
사라, 55, 150
마사, 52, 144
카차, 56, 168
다사, 94, 161
차나, 93, 154
카가, 53, 141
차타, 82, 195
타아, 63, 140
사다, 64, 183
마하, 81, 184
차바, 78, 180
마파, 93, 172
차사, 94, 185
바아, 90, 153
카바, 97, 142
차마, 44, 158
차나, 67, 198
라다, 75, 150
마타, 69, 159
바자, 99, 157
타라, 54, 160
카다, 74, 185
사마, 52, 143
사파, 83, 197
나마, 83, 166
라아, 46, 198
파파, 48, 146
나하, 44, 154
차사, 49, 149
파하, 88, 164
타나, 64, 162
아하, 60, 167
나가, 42, 177
차나, 98, 180
다가, 62, 141
마가, 64, 161
마자, 54, 192
마라, 81, 166
타바, 64, 185
사카, 66, 183
아하, 65, 195
하다, 42, 172
카아, 99, 146
차라, 78, 193
가파, 73, 171
차타, 71, 147
바바, 65, 162
자가, 45, 156
카파, 97, 168
바라, 82, 163
아라, 64, 195
라카, 65, 164
나사, 45, 153
다라, 44, 174
차파, 80, 164
가사, 89, 184
나가, 61, 167
타사, 90, 179
마가, 46, 156
라하, 71, 155
아파, 72, 164
파나, 82, 169
파하, 73, 170
가차, 44, 188
자하, 41, 144
파아, 46, 180
사나, 79, 141
라가, 77, 157
파자, 48, 146
나하, 93, 187
아바, 68, 156
타자, 55, 165
타나, 54, 140
사가, 60, 190
다라, 87, 185
바차, 47, 197
파카, 46, 194
다파, 60, 161
타타, 57, 167
파하, 54, 149
타마, 94, 165
가가, 56, 164
나자, 62, 181
카하, 61, 192
바나, 57, 142
타바, 96, 189
마다, 97, 149
나라, 54, 163
다카, 60, 154
마라, 47, 187
사가, 45, 189
파가, 88, 140
가카, 41, 154
바파, 85, 185
타파, 97, 170
아라, 98, 164
가나, 48, 199
가가, 55, 192
아라, 50, 140
파가, 84, 164
나라, 69, 195
카파, 55, 164
타나, 79, 147
하마, 91, 186
자라, 62, 154
가타, 90, 183
사아, 82, 185
바파, 60, 179
아자, 81, 151
카마, 76, 162
바아, 45, 188
나카, 98, 197
바파, 92, 192
아차, 41, 181
다자, 60, 190
바가, 76, 149
타파, 59, 145
파마, 52, 146
아마, 95, 187
타카, 69, 166
가라, 91, 159
타자, 46, 146
가차, 95, 172
자자, 45, 171
하마, 72, 193
라타, 58, 155
파나, 92, 155
라파, 62, 185
사마, 98, 151
가파, 69, 157
차라, 90, 191
카아, 49, 150
가차, 76, 162
라나, 57, 156
카마, 60, 166
마라, 94, 150
카바, 46, 164
아자, 61, 186
가타, 65, 187
카마, 98, 141
바나, 85, 198
아나, 75, 194
차자, 74, 150
라라, 86, 145
바바, 67, 144
라다, 81, 149
바마, 88, 189
파나, 96, 185
아마, 87, 162
